rank,fit,StoreCode,net_sales,gross_sales,return_amount,discount_amount,net_qty,n_rows,gross_h1,gross_h2,growth_index,growth_ratio_h2_h1,return_rate_amount,discount_intensity,net_share_pct,potential_score,pctile_growth_index,pctile_return_rate_amount,pctile_discount_intensity,pctile_net_share_pct,score_excl_discount
544,Flare,1677,6417.42,10544.64,-4127.22,491.6364,5,15,699.99,9844.65,0.8672,14.064,0.3914,0.057,0.036,54.6,95.9,28.3,25.0,27.5,62.0
545,Flare,1734,16194.476,25687.2461,-9492.77,1381.2,18,40,4929.5827,20757.6633,0.6162,4.2108,0.3696,0.0685,0.0908,54.5,75.9,33.1,18.5,80.7,63.4
546,Baggy,1825,9188.82,14154.43,-4965.61,1083.8364,9,19,1527.26,12627.17,0.7842,8.2679,0.3508,0.1,0.0515,54.5,90.4,36.5,9.8,48.5,65.7
547,Flare,1657,7913.5609,14813.4909,-6899.93,-86.3637,7,23,1636.34,13177.1509,0.7791,8.0528,0.4658,0.042,0.0444,54.5,90.1,18.2,40.8,38.5,58.0
548,Baggy,1663,11475.69,15826.76,-4351.07,342.4091,10,18,5335.92,10490.84,0.3257,1.9661,0.2749,0.0274,0.0644,54.5,49.1,52.1,61.3,63.7,52.8
549,Mom,1663,42854.7668,57236.3268,-14381.56,1474.5727,46,84,21430.0854,35806.2415,0.2512,1.6708,0.2513,0.0439,0.2403,54.4,43.3,57.9,38.6,99.5,58.4
550,Flare,1570,15688.6085,22776.6685,-7088.06,754.1364,17,33,6434.6292,16342.0394,0.435,2.5397,0.3112,0.0418,0.088,54.3,57.5,44.9,41.1,79.2,57.6
551,Straight,1829,14046.1,18955.14,-4909.04,683.9455,14,24,5416.48,13538.66,0.4285,2.4995,0.259,0.048,0.0788,54.3,56.5,55.4,33.0,74.8,59.6
552,Wide Leg,1681,10224.8412,12783.3412,-2558.5,1084.4364,11,17,3113.8174,9669.5238,0.5128,3.1054,0.2001,0.1044,0.0573,54.1,65.1,71.2,8.8,56.3,65.4
553,Super Skinny,1581,11768.2432,13586.4032,-1818.16,492.1182,12,16,6006.2506,7580.1526,0.1158,1.262,0.1338,0.035,0.066,54.0,32.6,84.5,50.4,65.2,54.9
554,Straight,1777,11067.28,19712.55,-8645.27,641.7182,10,28,2999.97,16712.58,0.6956,5.5709,0.4386,0.0489,0.0621,53.9,82.6,20.9,32.1,61.6,59.4
555,Wide Leg,1553,8124.3869,9942.5469,-1818.16,188.1909,7,11,4130.7769,5811.77,0.1691,1.4069,0.1829,0.0186,0.0456,53.9,36.3,74.7,73.2,40.4,49.1
556,Super Skinny,1534,11510.0627,14085.0327,-2574.97,0.0,12,18,7500.9027,6584.13,-0.0651,0.8778,0.1828,0.0043,0.0646,53.9,21.1,74.7,86.0,64.0,45.9
557,Super Skinny,1852,9673.9729,13670.8929,-3996.92,201.6727,8,18,4207.22,9463.6729,0.3845,2.2494,0.2924,0.0262,0.0543,53.9,53.4,48.5,62.9,52.4,51.7
558,Slim Straight,1922,14272.57,16090.73,-1818.16,0.0,15,19,12999.85,3090.88,-0.6158,0.2378,0.113,0.0,0.08,53.9,4.2,89.2,93.3,75.3,44.1
559,Super Skinny,1843,9512.6885,10330.8585,-818.17,446.6454,10,12,4336.08,5994.7785,0.1606,1.3825,0.0792,0.0414,0.0534,53.9,35.5,94.8,41.4,51.2,57.0
560,Flare,1840,6871.11,12083.52,-5212.41,-89.3546,6,18,636.35,11447.17,0.8947,17.9888,0.4314,0.0573,0.0385,53.8,97.1,21.7,24.7,30.5,61.0
561,Straight,1561,18340.16,37616.75,-19276.59,-358.4909,16,54,11454.44,26162.31,0.391,2.284,0.5124,0.0148,0.1029,53.8,53.8,14.2,78.5,86.6,47.6
562,Straight,1574,12476.08,18501.47,-6025.39,595.3364,11,25,3999.9618,14501.5082,0.5676,3.6254,0.3257,0.0581,0.07,53.8,70.7,42.0,24.2,68.0,61.2
563,Wide Leg,1789,10724.0663,11724.0563,-999.99,1323.3636,12,14,3999.96,7724.0963,0.3176,1.931,0.0853,0.1014,0.0601,53.7,48.5,94.3,9.2,59.3,64.8
564,Straight,1822,20147.1672,25700.6772,-5553.51,767.5454,20,32,9883.0072,15817.67,0.2309,1.6005,0.2161,0.047,0.113,53.7,41.8,67.2,33.8,89.5,58.7
565,Mom,1608,6077.0776,13428.1076,-7351.03,-411.8182,5,25,2158.8143,11269.2933,0.6785,5.2201,0.5474,0.018,0.0341,53.7,80.7,11.3,74.5,24.7,48.5
566,Straight,1938,12494.21,17077.16,-4582.95,438.9546,12,22,5705.94,11371.22,0.3317,1.9929,0.2684,0.0355,0.0701,53.6,49.9,53.7,49.8,68.3,54.5
567,Super Skinny,1576,9619.9845,10399.9745,-779.99,-220.0,11,13,7231.5811,3168.3934,-0.3907,0.4381,0.075,0.0,0.054,53.6,8.2,95.5,93.3,51.9,43.7
568,Flare,1845,36161.2543,47468.6743,-11307.42,1860.2636,38,62,19149.6443,28319.03,0.1932,1.4788,0.2382,0.0418,0.2028,53.4,37.7,61.1,41.0,98.8,56.5
569,Slim Straight,1653,8909.0,9636.26,-727.26,0.0,9,11,6363.56,3272.7,-0.3208,0.5143,0.0755,0.0,0.05,53.4,9.9,95.4,93.3,45.9,43.4
570,Super Skinny,1802,11656.7776,13293.1175,-1636.34,235.9091,12,16,7529.3375,5763.7801,-0.1328,0.7655,0.1231,0.0174,0.0654,53.4,16.9,87.2,75.4,64.9,47.9
571,Wide Leg,1892,9720.62,12375.13,-2654.51,-36.3636,9,15,3563.6,8811.53,0.4241,2.4726,0.2145,0.0516,0.0545,53.4,56.2,68.0,29.9,52.6,59.2
572,Flare,1508,5479.45,8570.33,-3090.88,450.6273,6,12,999.99,7570.34,0.7666,7.5704,0.3606,0.05,0.0307,53.4,88.6,34.7,31.3,19.8,58.9
573,Flare,1603,6995.5927,10413.7327,-3418.14,404.3546,7,15,2181.7927,8231.94,0.581,3.773,0.3282,0.0374,0.0392,53.4,72.1,41.4,47.4,31.4,54.9
574,Slim Straight,1766,10693.6395,11393.6295,-699.99,-300.0,11,13,9211.8295,2181.8,-0.617,0.2368,0.0614,0.0,0.06,53.3,4.1,96.8,93.3,59.0,43.4
575,Mom,1614,13477.7128,15750.4028,-2272.69,789.8455,15,21,5874.9028,9875.5,0.254,1.681,0.1443,0.0632,0.0756,53.3,43.6,83.0,21.2,72.8,61.4
576,Straight,1523,4681.81,7342.79,-2660.98,293.5091,4,10,1090.9,6251.89,0.7029,5.7309,0.3624,0.0384,0.0263,53.2,83.4,34.6,45.6,13.7,55.1
577,Flare,1850,4542.1393,8633.0093,-4090.87,218.1818,5,13,1227.25,7405.7593,0.7157,6.0344,0.4739,0.0246,0.0255,53.1,84.5,17.2,65.1,13.1,50.1
578,Flare,1665,12622.76,16940.89,-4318.13,489.4818,12,22,6571.07,10369.82,0.2242,1.5781,0.2549,0.0281,0.0708,53.1,40.9,57.2,60.6,69.0,51.3
579,Flare,1592,8128.0079,10218.8979,-2090.89,0.0,9,13,4946.2179,5272.68,0.0319,1.066,0.2046,0.0,0.0456,53.0,26.7,70.2,93.3,40.6,42.9
580,Mom,1892,19434.7726,22353.9326,-2919.16,964.5818,21,29,11155.0026,11198.93,0.002,1.0039,0.1306,0.0414,0.109,52.9,25.1,85.2,41.5,88.2,55.7
581,Wide Leg,1915,5416.1649,15464.5049,-10048.34,-708.1091,3,25,3070.7344,12393.7705,0.6029,4.0361,0.6498,0.0,0.0304,52.8,74.4,5.8,93.3,19.5,42.7
582,Baggy,1605,8159.7163,10341.5163,-2181.8,636.9455,8,12,2714.26,7627.2563,0.4751,2.8101,0.211,0.058,0.0458,52.8,61.4,69.1,24.3,40.9,60.0
583,Skinny,1696,9220.29,11074.82,-1854.53,-327.2727,8,12,6165.76,4909.06,-0.1135,0.7962,0.1675,0.0,0.0517,52.8,18.2,78.4,93.3,48.9,42.8
584,Wide Leg,1548,7585.32,13794.36,-6209.04,-94.4636,6,18,3181.79,10612.57,0.5387,3.3354,0.4501,0.0147,0.0425,52.8,67.1,19.5,78.7,35.8,46.4
585,Wide Leg,1651,7841.99,10819.23,-2977.24,635.2273,7,13,2273.83,8545.4,0.5797,3.7582,0.2752,0.0555,0.044,52.7,72.0,51.9,26.2,37.9,59.3
586,Flare,1548,7008.8377,8190.6477,-1181.81,640.8545,8,10,2213.3777,5977.27,0.4595,2.7005,0.1443,0.0726,0.0393,52.7,59.7,83.1,16.7,31.5,61.7
587,Wide Leg,1734,19272.2438,25179.0538,-5906.81,1270.9091,18,32,8763.55,16415.5038,0.3039,1.8732,0.2346,0.0581,0.1081,52.6,47.5,62.4,24.1,88.1,59.8
588,Flare,1852,1090.91,6545.4,-5454.49,0.0,0,12,999.99,5545.41,0.6944,5.5455,0.8333,0.0,0.0061,52.6,82.5,2.4,93.3,2.1,42.4
