fit,StoreCode,net_sales,gross_sales,return_amount,discount_amount,net_qty,n_rows,gross_h1,gross_h2,growth_index,growth_ratio_h2_h1,return_rate_amount,discount_intensity,net_share_pct
Wide Leg,1704,2283.62,3302.93,-1019.31,0.0,2,4,0.0,3302.93,1.0,,0.3086,0.0469,0.0128
Wide Leg,1706,3855.38,3855.38,0.0,300.0,4,4,1999.98,1855.4,-0.0375,0.9277,0.0,0.0722,0.0216
Wide Leg,1707,2475.06,2475.06,0.0,1797.6273,4,4,0.0,2475.06,1.0,,0.0,0.4207,0.0139
Wide Leg,1710,3190.88,3190.88,0.0,354.5454,3,3,827.26,2363.62,0.4815,2.8572,0.0,0.1,0.0179
Wide Leg,1711,4079.6228,5079.6128,-999.99,1021.7273,5,7,288.7252,4790.8876,0.8863,16.5932,0.1969,0.1675,0.0229
Wide Leg,1712,3181.79,3181.79,0.0,0.0,3,3,1909.07,1272.72,-0.2,0.6667,0.0,0.0,0.0178
Wide Leg,1713,6251.58,6251.58,0.0,381.8182,6,6,1999.98,4251.6,0.3602,2.1258,0.0,0.0576,0.0351
Wide Leg,1716,5536.32,6336.31,-799.99,300.0,5,7,2699.97,3636.34,0.1478,1.3468,0.1263,0.0452,0.031
Wide Leg,1717,3085.5698,5176.4598,-2090.89,381.8182,3,7,999.9,4176.5598,0.6137,4.177,0.4039,0.0687,0.0173
Wide Leg,1718,4385.5888,6840.1188,-2454.53,0.0,4,8,999.99,5840.1288,0.7076,5.8402,0.3588,0.0,0.0246
Wide Leg,1719,844.15,1090.9,-246.75,-271.4273,0,2,1090.9,0.0,-1.0,0.0,0.2262,0.0,0.0047
Wide Leg,1720,0.0,1181.81,-1181.81,0.0,0,2,0.0,1181.81,1.0,,1.0,0.0,0.0
Wide Leg,1723,545.45,545.45,0.0,236.3636,1,1,545.45,0.0,-1.0,0.0,0.0,0.3023,0.0031
Wide Leg,1724,2669.8,3851.61,-1181.81,632.1545,4,6,608.73,3242.88,0.6839,5.3273,0.3068,0.141,0.015
Wide Leg,1733,1546.6939,1546.6939,0.0,232.5636,2,2,273.9739,1272.72,0.6457,4.6454,0.0,0.1307,0.0087
Wide Leg,1739,4653.0259,4653.0259,0.0,1449.4273,8,8,3515.0462,1137.9798,-0.5109,0.3237,0.0,0.2375,0.0261
Wide Leg,1742,2609.06,2609.06,0.0,572.7273,3,3,2181.8,427.26,-0.6725,0.1958,0.0,0.18,0.0146
