store_code,year_month,net_sales,gross_sales,return_amount,net_quantity,n_transactions,had_sales
1521,2024-08,5224.68,6406.490000000001,-1181.81,5,7,True
1521,2024-09,6545.4,6545.4,0.0,6,6,True
1521,2024-10,5707.82859,6298.728590000001,-590.9,5,7,True
1521,2024-11,8649.999090000001,9831.80909,-1181.81,8,10,True
1521,2024-12,3480.2200000000003,4434.76,-954.54,3,5,True
1521,2025-01,-296.15999999999985,1772.0,-2068.16,0,4,True
1522,2024-02,-363.6400000000001,1818.16,-2181.8,0,4,True
1522,2024-03,5225.57273,5225.57273,0.0,6,6,True
1522,2024-04,1818.16,2636.33,-818.17,2,4,True
1522,2024-05,539.1800000000001,1090.9,-551.72,0,2,True
1522,2024-06,999.99,999.99,0.0,1,1,True
1522,2024-07,0.0,0.0,0.0,0,0,False
1522,2024-08,3272.7,3272.7,0.0,3,3,True
1522,2024-09,181.82000000000005,1090.9,-909.08,0,2,True
1522,2024-10,4870.780000000001,4870.780000000001,0.0,5,5,True
1522,2024-11,-612.18,2232.71,-2844.89,-1,5,True
1522,2024-12,219.37000000000012,2363.62,-2144.25,0,4,True
1522,2025-01,-90.90999999999985,1090.9,-1181.81,0,2,True
1523,2024-02,-399.9899999999999,909.08,-1309.07,-1,3,True
1523,2024-03,4223.92569,4223.92569,0.0,5,5,True
1523,2024-04,4510.07254,4510.07254,0.0,5,5,True
1523,2024-05,4870.09206,4870.09206,0.0,6,6,True
1523,2024-06,181.82000000000005,1090.9,-909.08,0,2,True
1523,2024-07,818.17,1818.1599999999999,-999.99,1,3,True
1523,2024-08,1756.5299999999997,2847.43,-1090.9,2,4,True
1523,2024-09,5636.320000000001,7818.120000000001,-2181.8,5,9,True
1523,2024-10,3342.28756,6742.31756,-3400.0299999999997,3,11,True
1523,2024-11,11129.689890000001,13898.48989,-2768.8,10,16,True
1523,2024-12,1090.9,2272.71,-1181.81,1,3,True
1523,2025-01,3818.16,9063.57,-5245.41,3,13,True
1524,2024-02,2497.46993,2497.46993,0.0,3,3,True
1524,2024-03,-1490.8899999999999,0.0,-1490.8899999999999,-2,2,True
1524,2024-04,3188.05182,6733.46182,-3545.41,4,12,True
1524,2024-05,899.99,899.99,0.0,1,1,True
1524,2024-06,9021.01263,10021.00263,-999.99,10,12,True
1524,2024-07,1071.42,1999.98,-928.56,1,3,True
1524,2024-08,-363.6400000000003,3999.96,-4363.6,0,8,True
1524,2024-09,7754.48091,9090.82091,-1336.3400000000001,7,11,True
1524,2024-10,4025.8619900000003,6207.6619900000005,-2181.8,4,8,True
1524,2024-11,4865.04,6955.93,-2090.8900000000003,5,9,True
1524,2024-12,9293.4365,10384.3365,-1090.9,8,10,True
1524,2025-01,2557.16444,4384.4144400000005,-1827.25,2,6,True
1525,2024-02,2818.15,3636.32,-818.17,3,5,True
